episode, result, self hp, boss hp, total reward, time
479, 1, 5, 901, 24.000, 66.318
480, 1, 6, 901, 37.000, 62.514
481, 1, 7, 901, 52.000, 48.575
482, 1, 6, 901, 46.500, 57.259
483, 1, 5, 901, 39.000, 64.484
484, 1, 1, 901, -19.000, 63.741
485, 1, 6, 901, 24.500, 66.420
486, 1, 7, 901, 51.000, 49.835
487, 1, 6, 901, 36.500, 53.883
488, 1, 7, 901, 45.500, 63.432
489, 1, 6, 901, 39.500, 62.159
490, 1, 8, 901, 60.500, 52.148
491, 1, 4, 901, 10.000, 72.553
492, 1, 8, 901, 61.000, 62.862
493, 1, 3, 901, 7.500, 51.888
494, 1, 5, 901, 19.000, 53.398
495, 1, 5, 901, 26.000, 74.515
496, 1, 6, 901, 37.500, 52.395
497, 1, 4, 901, 1.500, 65.599
498, 1, 5, 901, 19.500, 64.938
499, 1, 5, 901, 31.000, 46.095
500, 1, 2, 901, -26.000, 81.072
501, 1, 7, 901, 29.500, 54.647
502, 1, 2, 901, -14.500, 66.018
503, 1, 5, 901, 25.500, 56.884
504, 1, 4, 901, 10.000, 65.563
505, 1, 7, 901, 42.500, 42.630
506, 1, 5, 901, 8.500, 53.903
507, 1, 4, 901, 10.500, 55.714
508, 1, 7, 901, 47.500, 54.901
509, 1, 6, 901, 33.500, 65.779
510, 1, 7, 901, 39.000, 49.179
511, 1, 4, 901, 6.500, 48.127
512, 1, 4, 901, 14.000, 49.650
513, 1, 4, 901, 0.000, 64.429
514, 1, 2, 901, -20.000, 62.084
515, 1, 5, 901, 23.500, 51.804
516, 1, 4, 901, 8.000, 68.713
517, 1, 6, 901, 15.500, 44.627
518, 1, 4, 901, 14.500, 54.669
519, 1, 2, 901, -15.500, 63.379
520, 1, 6, 901, 34.000, 58.485
521, 1, 4, 901, 20.500, 53.719
522, 1, 8, 901, 60.000, 46.657
523, 1, 3, 901, 10.000, 62.904
524, 1, 4, 901, 16.500, 52.550
525, 1, 6, 901, 34.500, 67.546
526, 1, 5, 901, 29.000, 61.334
527, 1, 4, 901, 20.000, 64.881
528, 1, 4, 901, 12.500, 57.515
529, 1, 6, 901, 35.000, 59.874
530, 1, 6, 901, 13.500, 72.548
531, 1, 5, 901, 23.000, 61.886
