loss_policy_move, entropy_loss_move, loss_value_move, loss_policy_act, entropy_loss_act, loss_value_act
Episode: 1
-357701680000.0,0.0,107.98537,-3381513700000.0,0.0,20.7686
3691533300000.0,0.0,131.67142,228867470000.0,0.0,32.07723
-1309215400000.0,0.0,108.86311,273464000000.0,0.0,37.09707
1791274800000.0,0.0,95.47703,-3801392300000.0,0.0,4.243509
2327794700000.0,0.0,101.554985,200389120000.0,0.0,41.716354
714131500000.0,0.0,87.963684,-1503019100000.0,0.0,12.140881
343059460000.0,0.0,116.11468,-614470100000.0,0.0,21.59355
952434700.0,0.0,118.44556,17785264000.0,0.0,26.331556
459439100000.0,0.0,101.12103,-3329843000000.0,0.0,10.316475
-172123960000.0,0.0,113.27299,265669690000.0,0.0,11.410383
97417220000.0,0.0,81.886314,-284631270000.0,0.0,24.252872
1835327000000.0,0.0,129.3138,-23633256000.0,0.0,11.188849
-349862460000.0,0.0,114.68752,58210226000.0,0.0,8.886729
502035640000.0,0.0,107.70978,266303780000.0,0.0,15.246396
-235801380000.0,0.0,103.19954,120086856000.0,0.0,74.082466
54794750000.0,0.0,128.50732,-2753780300000.0,0.0,46.478817
496495850000.0,0.0,144.52486,293976100000.0,0.0,36.69477
341514100000.0,0.0,86.61724,-171488080000.0,0.0,11.504951
335813480000.0,0.0,134.57161,-1224988300000.0,0.0,39.079323
Episode: 1
520818720000.0,0.0,98.8076,-1421069800000.0,0.0,91.617455
672708700000.0,0.0,101.113045,-1020962870000.0,0.0,21.655691
575948460000.0,0.0,109.751785,-647735150000.0,0.0,98.02822
542072500000.0,0.0,134.92896,137389540000.0,0.0,81.06293
901484600000.0,0.0,117.1885,-866450500000.0,0.0,75.14376
1026010450000.0,0.0,128.41803,96736170000.0,0.0,86.15984
545240220000.0,0.0,93.93172,-45284250000.0,0.0,81.32168
430076620000.0,0.0,94.17139,-1356758500000.0,0.0,69.31353
921021200000.0,0.0,173.03171,507101680000.0,0.0,129.21263
1646698400000.0,0.0,129.46399,-2443943300000.0,0.0,45.60135
1191339400000.0,0.0,128.9865,-1422963200000.0,0.0,65.35264
1419900200000.0,0.0,104.26664,-2331573500000.0,0.0,56.511543
1909811700000.0,0.0,114.87136,-1373623800000.0,0.0,53.720863
267940050000.0,0.0,129.25182,-1054802840000.0,0.0,105.30862
-101398650000.0,0.0,94.876625,-1135702200000.0,0.0,80.816124
-316304200000.0,0.0,75.21727,-2353292000000.0,0.0,77.131546
142091290000.0,0.0,123.77311,-549901700000.0,0.0,94.6226
2714369000000.0,0.0,127.42389,163668280000.0,0.0,105.26743
878719860000.0,0.0,180.97792,-53651972000.0,0.0,51.79731
543365530000.0,0.0,134.88875,-92975150000.0,0.0,102.48299
972195360000.0,0.0,166.19475,288076560000.0,0.0,97.21035
353268100000.0,0.0,131.27731,-835439900000.0,0.0,71.60444
1314275600000.0,0.0,111.92289,-1397492000000.0,0.0,96.14599
700083200000.0,0.0,132.71101,-1318293100000.0,0.0,90.55533
447276000000.0,0.0,106.59092,-1158080500000.0,0.0,57.636078
381668700000.0,0.0,159.59445,-1170302800000.0,0.0,66.110535
-420347100000.0,0.0,106.27444,-1558431100000.0,0.0,67.785095
-474323420000.0,0.0,119.41705,-1001171100000.0,0.0,35.221016
682121100000.0,0.0,146.98529,-1145372700000.0,0.0,76.53111
-62719693000.0,0.0,87.34861,-3161938200000.0,0.0,57.275135
536996480000.0,0.0,96.29782,-1520303900000.0,0.0,119.32522
-900906300000.0,0.0,90.26471,-95201034000.0,0.0,40.217373
2078787900000.0,0.0,108.342705,-1669125200000.0,0.0,86.65201
464187950000.0,0.0,103.93328,-1802262800000.0,0.0,103.93111
486142540000.0,0.0,123.2326,173855180000.0,0.0,145.25223
725890900000.0,0.0,115.29539,-73854320000.0,0.0,90.73664
-0.0,0.0,104.566505,-1551367000000.0,0.0,91.7047
19348158000.0,0.0,113.02151,25667033000.0,0.0,77.80294
-1028760700000.0,0.0,69.240906,6896509000.0,0.0,77.61248
-163781400000.0,0.0,73.19546,713321550000.0,0.0,93.36798
953667550000.0,0.0,136.3208,-1976349500000.0,0.0,83.62774
547939550000.0,0.0,129.61763,-3279877800000.0,0.0,33.694733
8094401500.0,0.0,99.48782,-1822849500000.0,0.0,121.18237
350652660000.0,0.0,106.45554,-1416090700000.0,0.0,75.4058
2399904500000.0,0.0,97.11996,358483560000.0,0.0,100.17773
-404483100000.0,0.0,100.50682,-1349915500000.0,0.0,105.54071
-516920870000.0,0.0,93.226875,-2356087000000.0,0.0,47.119453
489986880000.0,0.0,98.269,-1468371800000.0,0.0,84.04684
-195237680000.0,0.0,110.23968,-1885450300000.0,0.0,70.16084
2364678000000.0,0.0,102.72532,-3674942000000.0,0.0,43.903973
-227376630000.0,0.0,101.06613,-3279281700000.0,0.0,74.2611
-166179230000.0,0.0,123.68038,151671950000.0,0.0,75.11117
10767613000.0,0.0,97.42489,27729134000.0,0.0,67.39237
1358224300000.0,0.0,100.99178,227911300000.0,0.0,59.738514
